"","brazilian","british","cajun_creole","chinese","filipino","french","greek","indian","irish","italian","jamaican","japanese","korean","mexican","moroccan","russian","southern_us","spanish","thai","vietnamese"
"brazilian",45,0,0,0,2,2,0,1,0,0,0,0,0,4,0,0,4,2,2,1
"british",2,72,3,2,0,6,0,4,14,9,2,0,0,0,0,4,17,4,0,0
"cajun_creole",3,1,273,1,2,9,2,0,0,6,1,0,0,4,1,2,34,3,0,0
"chinese",1,1,1,541,30,4,1,7,0,3,5,52,28,7,0,1,4,0,25,24
"filipino",5,1,0,9,98,0,0,1,0,1,3,3,0,3,0,1,1,6,7,5
"french",5,31,12,4,3,421,13,6,23,87,4,7,2,12,7,22,29,18,0,3
"greek",1,1,1,2,0,8,171,10,0,17,1,0,0,6,4,3,4,4,2,0
"indian",1,6,0,1,2,5,6,643,2,8,5,21,0,7,14,3,5,2,13,1
"irish",0,12,0,0,0,7,1,0,78,6,1,0,0,0,1,5,4,1,0,0
"italian",6,20,20,11,7,162,70,10,8,1748,3,13,5,22,11,13,68,53,2,6
"jamaican",3,0,0,0,1,2,0,2,1,1,94,0,0,3,0,0,2,0,0,0
"japanese",0,0,2,13,3,3,0,12,1,0,2,236,11,0,0,0,1,0,3,4
"korean",0,0,1,18,0,0,0,4,1,1,0,5,148,1,0,0,2,0,2,3
"mexican",21,1,14,10,15,7,4,11,3,23,4,5,3,1431,7,4,28,37,11,1
"moroccan",0,0,0,0,0,1,5,8,0,3,0,0,0,1,147,2,6,1,0,0
"russian",0,4,0,1,3,2,2,1,2,6,1,0,0,0,0,41,1,2,1,0
"southern_us",13,35,71,8,12,53,7,5,26,46,15,11,2,52,6,22,896,13,5,3
"spanish",5,1,1,0,4,9,5,0,1,19,1,0,1,13,4,3,9,95,0,0
"thai",2,1,0,12,6,0,0,9,0,0,1,4,1,3,0,0,1,0,284,31
"vietnamese",0,0,0,9,4,0,0,0,0,1,0,3,3,0,0,0,0,0,25,119
